Drug Name,Drug ID,Disease Name,Disease ID,Inference Score,geneInferences,cluster
napabucasin,C000621033,Neoplasm Metastasis,MESH:D009362,33.2,ID1,3
napabucasin,C000621033,Neoplasm Metastasis,MESH:D009362,33.2,ITGB1,3
napabucasin,C000621033,Neoplasm Metastasis,MESH:D009362,33.2,MYC,3
napabucasin,C000621033,Neoplasm Metastasis,MESH:D009362,33.2,PLAUR,3
napabucasin,C000621033,Neoplasm Metastasis,MESH:D009362,33.2,SIRT1,3
napabucasin,C000621033,Neoplasm Metastasis,MESH:D009362,33.2,STAT3,1
napabucasin,C000621033,Neoplasm Metastasis,MESH:D009362,33.2,YAP1,3
napabucasin,C000621033,Carcinogenesis,MESH:D063646,4.21,ERBB2,0
napabucasin,C000621033,"Cell Transformation, Neoplastic",MESH:D002471,40.19,ALDH1A1,1
napabucasin,C000621033,"Cell Transformation, Neoplastic",MESH:D002471,40.19,CD34,1
napabucasin,C000621033,"Cell Transformation, Neoplastic",MESH:D002471,40.19,CTNNB1,1
napabucasin,C000621033,"Cell Transformation, Neoplastic",MESH:D002471,40.19,CXCL8,1
napabucasin,C000621033,"Cell Transformation, Neoplastic",MESH:D002471,40.19,EGF,1
napabucasin,C000621033,"Cell Transformation, Neoplastic",MESH:D002471,40.19,GSK3B,1
napabucasin,C000621033,"Cell Transformation, Neoplastic",MESH:D002471,40.19,LIN28A,1
napabucasin,C000621033,"Cell Transformation, Neoplastic",MESH:D002471,40.19,MUC1,1
napabucasin,C000621033,"Cell Transformation, Neoplastic",MESH:D002471,40.19,MYC,1
napabucasin,C000621033,"Cell Transformation, Neoplastic",MESH:D002471,40.19,NANOG,1
napabucasin,C000621033,"Cell Transformation, Neoplastic",MESH:D002471,40.19,NFKB1,1
napabucasin,C000621033,"Cell Transformation, Neoplastic",MESH:D002471,40.19,NOTCH1,1
napabucasin,C000621033,"Cell Transformation, Neoplastic",MESH:D002471,40.19,STAT3,1
napabucasin,C000621033,"Neoplastic Cells, Circulating",MESH:D009360,6.0,ERBB2,0
napabucasin,C000621033,Neoplasm Invasiveness,MESH:D009361,26.7,ACTB,0
napabucasin,C000621033,Neoplasm Invasiveness,MESH:D009361,26.7,AXL,0
napabucasin,C000621033,Neoplasm Invasiveness,MESH:D009361,26.7,CTNNB1,0
napabucasin,C000621033,Neoplasm Invasiveness,MESH:D009361,26.7,DNMT1,0
napabucasin,C000621033,Neoplasm Invasiveness,MESH:D009361,26.7,EGF,0
napabucasin,C000621033,Neoplasm Invasiveness,MESH:D009361,26.7,FOXP1,0
napabucasin,C000621033,Neoplasm Invasiveness,MESH:D009361,26.7,ITGB1,0
napabucasin,C000621033,Neoplasm Invasiveness,MESH:D009361,26.7,LIN28A,0
napabucasin,C000621033,Neoplasm Invasiveness,MESH:D009361,26.7,NOTCH2,0
napabucasin,C000621033,Neoplasm Invasiveness,MESH:D009361,26.7,PLAUR,0
tempol,C001803,"Neoplasm Recurrence, Local",MESH:D009364,3.1,PTGS2,4
tempol,C001803,Neoplasm Metastasis,MESH:D009362,28.46,CAT,3
tempol,C001803,Neoplasm Metastasis,MESH:D009362,28.46,IL6,3
tempol,C001803,Neoplasm Metastasis,MESH:D009362,28.46,MAPK1,3
tempol,C001803,Neoplasm Metastasis,MESH:D009362,28.46,MAPK3,3
tempol,C001803,Neoplasm Metastasis,MESH:D009362,28.46,MMP2,3
tempol,C001803,Neoplasm Metastasis,MESH:D009362,28.46,MMP9,3
tempol,C001803,Neoplasm Metastasis,MESH:D009362,28.46,NFE2L2,3
tempol,C001803,Neoplasm Metastasis,MESH:D009362,28.46,PTGS2,3
tempol,C001803,Neoplasm Metastasis,MESH:D009362,28.46,SOD2,3
tempol,C001803,Neoplasm Metastasis,MESH:D009362,28.46,TGFB1,3
tempol,C001803,Neoplasm Metastasis,MESH:D009362,28.46,TNF,3
tempol,C001803,Neoplasm Metastasis,MESH:D009362,28.46,TP53,3
tempol,C001803,Lymphatic Metastasis,MESH:D008207,3.52,SOD2,0
tempol,C001803,Neoplasm Invasiveness,MESH:D009361,50.9,CAT,0
tempol,C001803,Neoplasm Invasiveness,MESH:D009361,50.9,CTSS,0
tempol,C001803,Neoplasm Invasiveness,MESH:D009361,50.9,CYP2E1,0
tempol,C001803,Neoplasm Invasiveness,MESH:D009361,50.9,HIF1A,0
tempol,C001803,Neoplasm Invasiveness,MESH:D009361,50.9,HMOX1,0
tempol,C001803,Neoplasm Invasiveness,MESH:D009361,50.9,IL1B,0
tempol,C001803,Neoplasm Invasiveness,MESH:D009361,50.9,IL6,0
tempol,C001803,Neoplasm Invasiveness,MESH:D009361,50.9,IREB2,0
tempol,C001803,Neoplasm Invasiveness,MESH:D009361,50.9,MAPK1,0
tempol,C001803,Neoplasm Invasiveness,MESH:D009361,50.9,MAPK3,0
tempol,C001803,Neoplasm Invasiveness,MESH:D009361,50.9,MMP2,0
tempol,C001803,Neoplasm Invasiveness,MESH:D009361,50.9,MMP9,0
tempol,C001803,Neoplasm Invasiveness,MESH:D009361,50.9,NFE2L2,5
tempol,C001803,Neoplasm Invasiveness,MESH:D009361,50.9,RELA,0
tempol,C001803,Neoplasm Invasiveness,MESH:D009361,50.9,RHOA,0
tempol,C001803,Neoplasm Invasiveness,MESH:D009361,50.9,SOD2,0
tempol,C001803,Neoplasm Invasiveness,MESH:D009361,50.9,TGFB1,0
tempol,C001803,Neoplasm Invasiveness,MESH:D009361,50.9,TNF,0
tempol,C001803,Carcinogenesis,MESH:D063646,3.41,NFE2L2,5
tempol,C001803,Anaplasia,MESH:D000708,5.13,HIF1A,0
tempol,C001803,"Neoplasm Regression, Spontaneous",MESH:D009365,4.89,TGFB1,0
tempol,C001803,"Cell Transformation, Neoplastic",MESH:D002471,50.1,BCL2,1
tempol,C001803,"Cell Transformation, Neoplastic",MESH:D002471,50.1,CAT,1
tempol,C001803,"Cell Transformation, Neoplastic",MESH:D002471,50.1,EDN1,1
tempol,C001803,"Cell Transformation, Neoplastic",MESH:D002471,50.1,EPAS1,1
tempol,C001803,"Cell Transformation, Neoplastic",MESH:D002471,50.1,GCLC,1
tempol,C001803,"Cell Transformation, Neoplastic",MESH:D002471,50.1,HIF1A,1
tempol,C001803,"Cell Transformation, Neoplastic",MESH:D002471,50.1,IL6,1
tempol,C001803,"Cell Transformation, Neoplastic",MESH:D002471,50.1,JUN,1
tempol,C001803,"Cell Transformation, Neoplastic",MESH:D002471,50.1,MMP9,1
tempol,C001803,"Cell Transformation, Neoplastic",MESH:D002471,50.1,NFKB1,1
tempol,C001803,"Cell Transformation, Neoplastic",MESH:D002471,50.1,NOS2,1
tempol,C001803,"Cell Transformation, Neoplastic",MESH:D002471,50.1,RELA,1
tempol,C001803,"Cell Transformation, Neoplastic",MESH:D002471,50.1,SOD1,1
tempol,C001803,"Cell Transformation, Neoplastic",MESH:D002471,50.1,SOD2,1
tempol,C001803,"Cell Transformation, Neoplastic",MESH:D002471,50.1,TFRC,1
tempol,C001803,"Cell Transformation, Neoplastic",MESH:D002471,50.1,TGFB1,1
tempol,C001803,"Cell Transformation, Neoplastic",MESH:D002471,50.1,TP53,1
triptolide,C001899,Neoplasm Invasiveness,MESH:D009361,36.94,ACTB,0
triptolide,C001899,Neoplasm Invasiveness,MESH:D009361,36.94,AKR1B10,0
triptolide,C001899,Neoplasm Invasiveness,MESH:D009361,36.94,AMBP,0
triptolide,C001899,Neoplasm Invasiveness,MESH:D009361,36.94,CCL2,0
triptolide,C001899,Neoplasm Invasiveness,MESH:D009361,36.94,CXCR4,0
triptolide,C001899,Neoplasm Invasiveness,MESH:D009361,36.94,FTH1,0
triptolide,C001899,Neoplasm Invasiveness,MESH:D009361,36.94,HMOX1,0
triptolide,C001899,Neoplasm Invasiveness,MESH:D009361,36.94,HRAS,0
triptolide,C001899,Neoplasm Invasiveness,MESH:D009361,36.94,IL1B,0
triptolide,C001899,Neoplasm Invasiveness,MESH:D009361,36.94,IL6,0
triptolide,C001899,Neoplasm Invasiveness,MESH:D009361,36.94,ITGA5,0
triptolide,C001899,Neoplasm Invasiveness,MESH:D009361,36.94,MAPK1,0
triptolide,C001899,Neoplasm Invasiveness,MESH:D009361,36.94,MAPK3,0
triptolide,C001899,Neoplasm Invasiveness,MESH:D009361,36.94,MIR141,0
triptolide,C001899,Neoplasm Invasiveness,MESH:D009361,36.94,MMP2,0
triptolide,C001899,Neoplasm Invasiveness,MESH:D009361,36.94,MMP9,0
triptolide,C001899,Neoplasm Invasiveness,MESH:D009361,36.94,NFE2L2,5
triptolide,C001899,Neoplasm Invasiveness,MESH:D009361,36.94,PTEN,0
triptolide,C001899,Neoplasm Invasiveness,MESH:D009361,36.94,PTK2,0
triptolide,C001899,Neoplasm Invasiveness,MESH:D009361,36.94,RELA,0
triptolide,C001899,Neoplasm Invasiveness,MESH:D009361,36.94,RHOA,0
triptolide,C001899,Neoplasm Invasiveness,MESH:D009361,36.94,S100A11,0
triptolide,C001899,Neoplasm Invasiveness,MESH:D009361,36.94,S100A4,0
triptolide,C001899,Neoplasm Invasiveness,MESH:D009361,36.94,SUMO1,0
triptolide,C001899,Neoplasm Invasiveness,MESH:D009361,36.94,TF,0
triptolide,C001899,Neoplasm Invasiveness,MESH:D009361,36.94,TNF,0
triptolide,C001899,Neoplasm Invasiveness,MESH:D009361,36.94,TXN,0
triptolide,C001899,Anaplasia,MESH:D000708,4.88,CA9,0
triptolide,C001899,Carcinogenesis,MESH:D063646,6.33,CAV1,0
triptolide,C001899,Carcinogenesis,MESH:D063646,6.33,KRAS,0
triptolide,C001899,Carcinogenesis,MESH:D063646,6.33,NFE2L2,5
triptolide,C001899,Neoplasm Metastasis,MESH:D009362,35.14,CAV1,3
triptolide,C001899,Neoplasm Metastasis,MESH:D009362,35.14,CD44,3
triptolide,C001899,Neoplasm Metastasis,MESH:D009362,35.14,CXCR4,3
triptolide,C001899,Neoplasm Metastasis,MESH:D009362,35.14,GPX2,3
triptolide,C001899,Neoplasm Metastasis,MESH:D009362,35.14,HSPA1A,3
triptolide,C001899,Neoplasm Metastasis,MESH:D009362,35.14,IL6,3
triptolide,C001899,Neoplasm Metastasis,MESH:D009362,35.14,KRAS,3
triptolide,C001899,Neoplasm Metastasis,MESH:D009362,35.14,MAPK1,3
triptolide,C001899,Neoplasm Metastasis,MESH:D009362,35.14,MAPK3,3
triptolide,C001899,Neoplasm Metastasis,MESH:D009362,35.14,MMP2,3
triptolide,C001899,Neoplasm Metastasis,MESH:D009362,35.14,MMP9,3
triptolide,C001899,Neoplasm Metastasis,MESH:D009362,35.14,MYC,3
triptolide,C001899,Neoplasm Metastasis,MESH:D009362,35.14,NFE2L2,3
triptolide,C001899,Neoplasm Metastasis,MESH:D009362,35.14,PML,3
triptolide,C001899,Neoplasm Metastasis,MESH:D009362,35.14,PTEN,3
triptolide,C001899,Neoplasm Metastasis,MESH:D009362,35.14,PTGS2,3
triptolide,C001899,Neoplasm Metastasis,MESH:D009362,35.14,RAC1,3
triptolide,C001899,Neoplasm Metastasis,MESH:D009362,35.14,S100A4,3
triptolide,C001899,Neoplasm Metastasis,MESH:D009362,35.14,SERPINA1,3
triptolide,C001899,Neoplasm Metastasis,MESH:D009362,35.14,SIRT1,3
triptolide,C001899,Neoplasm Metastasis,MESH:D009362,35.14,STAT1,3
triptolide,C001899,Neoplasm Metastasis,MESH:D009362,35.14,STAT3,1
triptolide,C001899,Neoplasm Metastasis,MESH:D009362,35.14,TNF,3
triptolide,C001899,Neoplasm Metastasis,MESH:D009362,35.14,TNFSF10,3
triptolide,C001899,Neoplasm Metastasis,MESH:D009362,35.14,TP53,3
triptolide,C001899,Neoplasm Metastasis,MESH:D009362,35.14,TRP53,3
triptolide,C001899,Neoplasm Metastasis,MESH:D009362,35.14,TXN,3
triptolide,C001899,Lymphatic Metastasis,MESH:D008207,6.74,MTOR,0
triptolide,C001899,Lymphatic Metastasis,MESH:D008207,6.74,SFN,0
triptolide,C001899,Lymphatic Metastasis,MESH:D008207,6.74,STAT3,1
triptolide,C001899,"Neoplasm Recurrence, Local",MESH:D009364,3.95,PTGS2,4
triptolide,C001899,"Neoplasm Recurrence, Local",MESH:D009364,3.95,SOX2,4
triptolide,C001899,Neoplastic Processes,MESH:D009385,3.59,HRAS,0
triptolide,C001899,"Cell Transformation, Neoplastic",MESH:D002471,38.96,BCL2,1
triptolide,C001899,"Cell Transformation, Neoplastic",MESH:D002471,38.96,CCND1,1
triptolide,C001899,"Cell Transformation, Neoplastic",MESH:D002471,38.96,CXCL8,1
triptolide,C001899,"Cell Transformation, Neoplastic",MESH:D002471,38.96,CXCR4,1
triptolide,C001899,"Cell Transformation, Neoplastic",MESH:D002471,38.96,EZH2,1
triptolide,C001899,"Cell Transformation, Neoplastic",MESH:D002471,38.96,GCLC,1
triptolide,C001899,"Cell Transformation, Neoplastic",MESH:D002471,38.96,GSK3B,1
triptolide,C001899,"Cell Transformation, Neoplastic",MESH:D002471,38.96,HRAS,1
triptolide,C001899,"Cell Transformation, Neoplastic",MESH:D002471,38.96,IL6,1
triptolide,C001899,"Cell Transformation, Neoplastic",MESH:D002471,38.96,IRS1,1
triptolide,C001899,"Cell Transformation, Neoplastic",MESH:D002471,38.96,KRAS,1
triptolide,C001899,"Cell Transformation, Neoplastic",MESH:D002471,38.96,MMP9,1
triptolide,C001899,"Cell Transformation, Neoplastic",MESH:D002471,38.96,MYC,1
triptolide,C001899,"Cell Transformation, Neoplastic",MESH:D002471,38.96,NOTCH1,1
triptolide,C001899,"Cell Transformation, Neoplastic",MESH:D002471,38.96,OCLN,1
triptolide,C001899,"Cell Transformation, Neoplastic",MESH:D002471,38.96,POR,1
triptolide,C001899,"Cell Transformation, Neoplastic",MESH:D002471,38.96,PROM1,1
triptolide,C001899,"Cell Transformation, Neoplastic",MESH:D002471,38.96,PTEN,1
triptolide,C001899,"Cell Transformation, Neoplastic",MESH:D002471,38.96,PTK2,1
triptolide,C001899,"Cell Transformation, Neoplastic",MESH:D002471,38.96,RAC1,1
triptolide,C001899,"Cell Transformation, Neoplastic",MESH:D002471,38.96,RELA,1
triptolide,C001899,"Cell Transformation, Neoplastic",MESH:D002471,38.96,SLC2A1,1
triptolide,C001899,"Cell Transformation, Neoplastic",MESH:D002471,38.96,STAT3,1
triptolide,C001899,"Cell Transformation, Neoplastic",MESH:D002471,38.96,SUV39H1,1
triptolide,C001899,"Cell Transformation, Neoplastic",MESH:D002471,38.96,TP53,1
triptolide,C001899,"Cell Transformation, Neoplastic",MESH:D002471,38.96,TRP53,1
betulinic acid,C002070,"Neoplasm Recurrence, Local",MESH:D009364,11.8,EGFR,4
betulinic acid,C002070,"Neoplasm Recurrence, Local",MESH:D009364,11.8,TYMS,4
betulinic acid,C002070,"Neoplasm Recurrence, Local",MESH:D009364,11.8,VEGFA,4
betulinic acid,C002070,"Cell Transformation, Neoplastic",MESH:D002471,22.4,BCL2,1
betulinic acid,C002070,"Cell Transformation, Neoplastic",MESH:D002471,22.4,CCND1,1
betulinic acid,C002070,"Cell Transformation, Neoplastic",MESH:D002471,22.4,CTNNB1,1
betulinic acid,C002070,"Cell Transformation, Neoplastic",MESH:D002471,22.4,HIF1A,1
betulinic acid,C002070,"Cell Transformation, Neoplastic",MESH:D002471,22.4,MMP9,1
betulinic acid,C002070,"Cell Transformation, Neoplastic",MESH:D002471,22.4,RELA,1
betulinic acid,C002070,"Cell Transformation, Neoplastic",MESH:D002471,22.4,STAT3,1
betulinic acid,C002070,"Cell Transformation, Neoplastic",MESH:D002471,22.4,TGFB1,1
betulinic acid,C002070,Neoplasm Invasiveness,MESH:D009361,36.0,CTNNB1,0
betulinic acid,C002070,Neoplasm Invasiveness,MESH:D009361,36.0,EGFR,0
betulinic acid,C002070,Neoplasm Invasiveness,MESH:D009361,36.0,HIF1A,0
betulinic acid,C002070,Neoplasm Invasiveness,MESH:D009361,36.0,MAPK1,0
betulinic acid,C002070,Neoplasm Invasiveness,MESH:D009361,36.0,MAPK3,0
betulinic acid,C002070,Neoplasm Invasiveness,MESH:D009361,36.0,MMP2,0
betulinic acid,C002070,Neoplasm Invasiveness,MESH:D009361,36.0,MMP9,0
betulinic acid,C002070,Neoplasm Invasiveness,MESH:D009361,36.0,RELA,0
betulinic acid,C002070,Neoplasm Invasiveness,MESH:D009361,36.0,TGFB1,0
betulinic acid,C002070,Neoplasm Invasiveness,MESH:D009361,36.0,TIMP1,0
betulinic acid,C002070,Neoplasm Invasiveness,MESH:D009361,36.0,TLR4,0
betulinic acid,C002070,Neoplasm Invasiveness,MESH:D009361,36.0,TNF,0
betulinic acid,C002070,Anaplasia,MESH:D000708,13.6,CA9,0
betulinic acid,C002070,Anaplasia,MESH:D000708,13.6,HIF1A,0
betulinic acid,C002070,Neoplasm Metastasis,MESH:D009362,35.13,CTNNB1,3
betulinic acid,C002070,Neoplasm Metastasis,MESH:D009362,35.13,EGFR,7
betulinic acid,C002070,Neoplasm Metastasis,MESH:D009362,35.13,MAPK1,3
betulinic acid,C002070,Neoplasm Metastasis,MESH:D009362,35.13,MAPK3,3
betulinic acid,C002070,Neoplasm Metastasis,MESH:D009362,35.13,MMP2,3
betulinic acid,C002070,Neoplasm Metastasis,MESH:D009362,35.13,MMP9,3
betulinic acid,C002070,Neoplasm Metastasis,MESH:D009362,35.13,RB1,3
betulinic acid,C002070,Neoplasm Metastasis,MESH:D009362,35.13,STAT3,1
betulinic acid,C002070,Neoplasm Metastasis,MESH:D009362,35.13,TGFB1,3
betulinic acid,C002070,Neoplasm Metastasis,MESH:D009362,35.13,TLR4,3
betulinic acid,C002070,Neoplasm Metastasis,MESH:D009362,35.13,TNF,3
betulinic acid,C002070,Neoplasm Metastasis,MESH:D009362,35.13,VEGFA,3
betulinic acid,C002070,Lymphatic Metastasis,MESH:D008207,3.97,STAT3,1
betulinic acid,C002070,"Neoplasm Regression, Spontaneous",MESH:D009365,5.16,TGFB1,0
trospium chloride,C003330,Neoplasm Metastasis,MESH:D009362,3.47,ABCB1,3
sapropterin,C003402,Neoplasm Metastasis,MESH:D009362,5.89,EPO,3
sapropterin,C003402,Neoplasm Metastasis,MESH:D009362,5.89,TP53,3
sapropterin,C003402,"Cell Transformation, Neoplastic",MESH:D002471,5.98,NOS2,1
sapropterin,C003402,"Cell Transformation, Neoplastic",MESH:D002471,5.98,TP53,1
sapropterin,C003402,Neoplasm Invasiveness,MESH:D009361,3.76,EPO,0
dexamethasone 21-phosphate,C004180,Neoplasm Invasiveness,MESH:D009361,13.47,IL1B,0
dexamethasone 21-phosphate,C004180,Neoplasm Invasiveness,MESH:D009361,13.47,INS,0
dexamethasone 21-phosphate,C004180,Neoplasm Invasiveness,MESH:D009361,13.47,RELA,0
dexamethasone 21-phosphate,C004180,Neoplasm Invasiveness,MESH:D009361,13.47,TNF,0
dexamethasone 21-phosphate,C004180,"Neoplasm Recurrence, Local",MESH:D009364,3.97,PTGS2,4
dexamethasone 21-phosphate,C004180,"Cell Transformation, Neoplastic",MESH:D002471,3.1,RELA,1
dexamethasone 21-phosphate,C004180,Neoplasm Metastasis,MESH:D009362,5.73,PTGS2,3
dexamethasone 21-phosphate,C004180,Neoplasm Metastasis,MESH:D009362,5.73,TNF,3
pimagedine,C004479,"Cell Transformation, Neoplastic",MESH:D002471,33.0,BCL2,1
pimagedine,C004479,"Cell Transformation, Neoplastic",MESH:D002471,33.0,CAT,1
pimagedine,C004479,"Cell Transformation, Neoplastic",MESH:D002471,33.0,CD34,1
pimagedine,C004479,"Cell Transformation, Neoplastic",MESH:D002471,33.0,EDN1,1
pimagedine,C004479,"Cell Transformation, Neoplastic",MESH:D002471,33.0,HIF1A,1
pimagedine,C004479,"Cell Transformation, Neoplastic",MESH:D002471,33.0,IL6,1
pimagedine,C004479,"Cell Transformation, Neoplastic",MESH:D002471,33.0,MMP14,1
pimagedine,C004479,"Cell Transformation, Neoplastic",MESH:D002471,33.0,MMP9,1
pimagedine,C004479,"Cell Transformation, Neoplastic",MESH:D002471,33.0,NOS2,1
